Step 0:    (2022-05-08 19:08:00.686273)
    54.84846165426274 examples per second
Step 69900:    (2022-05-09 15:53:51.823595)
    training nat accuracy 100.0%
    training adv accuracy 100.0%
    54.1850863712517 examples per second
Step 70000:    (2022-05-09 15:55:15.404713)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    59.915911592972066 examples per second
Step 70100:    (2022-05-09 15:56:46.598250)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    54.84608364592036 examples per second
Step 70200:    (2022-05-09 15:58:18.904259)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.18637562961208 examples per second
Step 70300:    (2022-05-09 15:59:41.955053)
    training nat accuracy 98.0%
    training adv accuracy 82.0%
    60.28847320513144 examples per second
Step 70400:    (2022-05-09 16:01:13.215398)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    54.847565152921455 examples per second
Step 70500:    (2022-05-09 16:02:45.799817)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    54.02361599732396 examples per second
Step 70600:    (2022-05-09 16:04:10.326071)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    59.24026615899245 examples per second
Step 70700:    (2022-05-09 16:05:41.622685)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.786187938502316 examples per second
Step 70800:    (2022-05-09 16:07:13.848677)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.23308960055482 examples per second
Step 70900:    (2022-05-09 16:08:37.564732)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    59.806304290492776 examples per second
Step 71000:    (2022-05-09 16:10:09.034619)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    54.68132721664206 examples per second
Step 71100:    (2022-05-09 16:11:41.534024)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.07324711229425 examples per second
Step 71200:    (2022-05-09 16:13:04.013094)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    60.7155463556443 examples per second
Step 71300:    (2022-05-09 16:14:35.726503)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.535474640592845 examples per second
Step 71400:    (2022-05-09 16:16:08.183041)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    54.09829443228874 examples per second
Step 71500:    (2022-05-09 16:17:31.763488)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    59.96546450763445 examples per second
Step 71600:    (2022-05-09 16:19:03.776893)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    54.35863291941942 examples per second
Step 71700:    (2022-05-09 16:20:36.510929)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    53.93628905243984 examples per second
Step 71800:    (2022-05-09 16:21:59.709307)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    60.18048638722193 examples per second
Step 71900:    (2022-05-09 16:23:31.802756)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    54.30957874783589 examples per second
Step 72000:    (2022-05-09 16:25:04.283265)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.08443789228561 examples per second
Step 72100:    (2022-05-09 16:26:29.169553)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    58.987955115461915 examples per second
Step 72200:    (2022-05-09 16:28:00.330933)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.86607556919503 examples per second
Step 72300:    (2022-05-09 16:29:32.489318)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.27306974778084 examples per second
Step 72400:    (2022-05-09 16:30:55.602626)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    60.245318696224544 examples per second
Step 72500:    (2022-05-09 16:32:26.892041)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.78952012875837 examples per second
Step 72600:    (2022-05-09 16:33:59.456614)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    54.07586895960256 examples per second
Step 72700:    (2022-05-09 16:35:22.653026)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    60.18976675759899 examples per second
Step 72800:    (2022-05-09 16:36:53.660726)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.95934038082111 examples per second
Step 72900:    (2022-05-09 16:38:26.426161)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    53.91869575849962 examples per second
Step 73000:    (2022-05-09 16:39:49.900597)
    training nat accuracy 96.0%
    training adv accuracy 92.0%
    59.9919049329732 examples per second
Step 73100:    (2022-05-09 16:41:20.931666)
    training nat accuracy 98.0%
    training adv accuracy 80.0%
    54.94520080156764 examples per second
Step 73200:    (2022-05-09 16:42:53.093426)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.27131606673922 examples per second
Step 73300:    (2022-05-09 16:44:17.070380)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    59.634971655317635 examples per second
Step 73400:    (2022-05-09 16:45:48.312942)
    training nat accuracy 100.0%
    training adv accuracy 82.0%
    54.816870185313064 examples per second
Step 73500:    (2022-05-09 16:47:20.518361)
    training nat accuracy 100.0%
    training adv accuracy 82.0%
    54.24565507777556 examples per second
Step 73600:    (2022-05-09 16:48:42.495162)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    61.071439623140805 examples per second
Step 73700:    (2022-05-09 16:50:13.591315)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.94651087412574 examples per second
Step 73800:    (2022-05-09 16:51:45.870645)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.20245855051992 examples per second
Step 73900:    (2022-05-09 16:53:09.348320)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    59.98935639973329 examples per second
Step 74000:    (2022-05-09 16:54:40.492986)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.87704523252294 examples per second
Step 74100:    (2022-05-09 16:56:12.657107)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.26986074495821 examples per second
Step 74200:    (2022-05-09 16:57:36.936011)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    59.423974980212186 examples per second
Step 74300:    (2022-05-09 16:59:08.364446)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.706701953683385 examples per second
Step 74400:    (2022-05-09 17:00:40.414194)
    training nat accuracy 100.0%
    training adv accuracy 84.0%
    54.33749067594555 examples per second
Step 74500:    (2022-05-09 17:02:03.658528)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    60.15792380920753 examples per second
Step 74600:    (2022-05-09 17:03:35.289255)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.58536238303776 examples per second
Step 74700:    (2022-05-09 17:05:07.539177)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.219273412870514 examples per second
Step 74800:    (2022-05-09 17:06:31.447613)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    59.72626261093224 examples per second
Step 74900:    (2022-05-09 17:08:03.081477)
    training nat accuracy 96.0%
    training adv accuracy 84.0%
    54.581651801264684 examples per second
Step 75000:    (2022-05-09 17:09:35.099798)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.35576751804482 examples per second
Step 75100:    (2022-05-09 17:10:58.039600)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    60.37044142467357 examples per second
Step 75200:    (2022-05-09 17:12:30.726152)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    53.964251269384945 examples per second
Step 75300:    (2022-05-09 17:14:03.492504)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    53.91771129935221 examples per second
Step 75400:    (2022-05-09 17:15:28.156008)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    59.14274318541114 examples per second
Step 75500:    (2022-05-09 17:17:00.690754)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.05241641652929 examples per second
Step 75600:    (2022-05-09 17:18:34.964174)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    53.0560352885655 examples per second
Step 75700:    (2022-05-09 17:19:59.127420)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    59.490204654395235 examples per second
Step 75800:    (2022-05-09 17:21:31.400903)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    54.20535971144493 examples per second
Step 75900:    (2022-05-09 17:23:04.401188)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    53.82091713758688 examples per second
Step 76000:    (2022-05-09 17:24:28.762412)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    59.36168774448115 examples per second
Step 76100:    (2022-05-09 17:26:01.154711)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.135543833195875 examples per second
Step 76200:    (2022-05-09 17:27:33.706930)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.042295074031635 examples per second
Step 76300:    (2022-05-09 17:28:57.954113)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    59.44056536057262 examples per second
Step 76400:    (2022-05-09 17:30:29.495753)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    54.637094830465486 examples per second
Step 76500:    (2022-05-09 17:32:02.328640)
    training nat accuracy 94.0%
    training adv accuracy 94.0%
    53.878787561152606 examples per second
Step 76600:    (2022-05-09 17:33:26.469618)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    59.50698044355413 examples per second
Step 76700:    (2022-05-09 17:34:58.259789)
    training nat accuracy 94.0%
    training adv accuracy 90.0%
    54.49038664938063 examples per second
Step 76800:    (2022-05-09 17:36:30.620312)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.15462674025277 examples per second
Step 76900:    (2022-05-09 17:37:54.046465)
    training nat accuracy 94.0%
    training adv accuracy 88.0%
    60.027094677376326 examples per second
Step 77000:    (2022-05-09 17:39:26.115327)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.3689672040587 examples per second
Step 77100:    (2022-05-09 17:40:59.315783)
    training nat accuracy 94.0%
    training adv accuracy 86.0%
    53.66674287966636 examples per second
Step 77200:    (2022-05-09 17:42:22.151635)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    60.43919272540474 examples per second
Step 77300:    (2022-05-09 17:43:53.840520)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.548551351338304 examples per second
Step 77400:    (2022-05-09 17:45:26.236926)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.13287310667976 examples per second
Step 77500:    (2022-05-09 17:46:49.723617)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    59.98032862762158 examples per second
Step 77600:    (2022-05-09 17:48:22.308900)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.02201399665553 examples per second
Step 77700:    (2022-05-09 17:49:55.324743)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    53.77254178779584 examples per second
Step 77800:    (2022-05-09 17:51:18.467090)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    60.214187029809594 examples per second
Step 77900:    (2022-05-09 17:52:50.068646)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.60234080745626 examples per second
Step 78000:    (2022-05-09 17:54:22.153138)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.31652795579212 examples per second
Step 78100:    (2022-05-09 17:55:44.986823)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    60.510922087370204 examples per second
Step 78200:    (2022-05-09 17:57:16.716627)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.52699858706811 examples per second
Step 78300:    (2022-05-09 17:58:49.189565)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.08863519137932 examples per second
Step 78400:    (2022-05-09 18:00:12.050725)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    60.42709807599076 examples per second
Step 78500:    (2022-05-09 18:01:44.428871)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.14268793431705 examples per second
Step 78600:    (2022-05-09 18:03:17.366705)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    53.818021342878005 examples per second
Step 78700:    (2022-05-09 18:04:41.817346)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    59.29429012019116 examples per second
Step 78800:    (2022-05-09 18:06:13.530403)
    training nat accuracy 94.0%
    training adv accuracy 88.0%
    54.54068610080544 examples per second
Step 78900:    (2022-05-09 18:07:46.381278)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    53.86837200054043 examples per second
Step 79000:    (2022-05-09 18:09:09.508694)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    60.24044236154122 examples per second
Step 79100:    (2022-05-09 18:10:41.601380)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    54.311702066604035 examples per second
Step 79200:    (2022-05-09 18:12:14.684404)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    53.7760536963752 examples per second
Step 79300:    (2022-05-09 18:13:37.626646)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    60.377705367741136 examples per second
Step 79400:    (2022-05-09 18:15:08.914482)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.79004821119451 examples per second
Step 79500:    (2022-05-09 18:16:40.712868)
    training nat accuracy 96.0%
    training adv accuracy 96.0%
    54.48610663082692 examples per second
Step 79600:    (2022-05-09 18:18:03.758617)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    60.28330837006653 examples per second
Step 79700:    (2022-05-09 18:19:35.047110)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.790014016550344 examples per second
Step 79800:    (2022-05-09 18:21:06.885430)
    training nat accuracy 96.0%
    training adv accuracy 84.0%
    54.462817742903454 examples per second
Step 79900:    (2022-05-09 18:22:30.233090)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    60.07304628107845 examples per second
Step 80000:    (2022-05-09 18:24:01.489388)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.81066776191405 examples per second
Step 80100:    (2022-05-09 18:25:33.346552)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.452045545494 examples per second
Step 80200:    (2022-05-09 18:26:56.805776)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    59.994241565196404 examples per second
Step 80300:    (2022-05-09 18:28:28.428903)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.62898822298731 examples per second
Step 80400:    (2022-05-09 18:30:00.542728)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.29976943868499 examples per second
Step 80500:    (2022-05-09 18:31:21.603029)
    training nat accuracy 96.0%
    training adv accuracy 92.0%
    61.78598508572217 examples per second
Step 80600:    (2022-05-09 18:32:52.728666)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    54.88764778372742 examples per second
Step 80700:    (2022-05-09 18:34:25.297634)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.03227372677328 examples per second
Step 80800:    (2022-05-09 18:35:48.464715)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    60.20599110511053 examples per second
Step 80900:    (2022-05-09 18:37:20.901315)
    training nat accuracy 94.0%
    training adv accuracy 86.0%
    54.1099331886263 examples per second
Step 81000:    (2022-05-09 18:38:54.070801)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    53.68393624284571 examples per second
Step 81100:    (2022-05-09 18:40:16.821922)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    60.50979348066845 examples per second
Step 81200:    (2022-05-09 18:41:48.984846)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    54.27041966582928 examples per second
Step 81300:    (2022-05-09 18:43:21.872652)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    53.84595556735447 examples per second
Step 81400:    (2022-05-09 18:44:46.116264)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    59.49312686265975 examples per second
Step 81500:    (2022-05-09 18:46:17.086638)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.982811219368045 examples per second
Step 81600:    (2022-05-09 18:47:49.233024)
    training nat accuracy 96.0%
    training adv accuracy 92.0%
    54.280040052774154 examples per second
Step 81700:    (2022-05-09 18:49:12.873327)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    59.86964545842719 examples per second
Step 81800:    (2022-05-09 18:50:44.243760)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.74131180030632 examples per second
Step 81900:    (2022-05-09 18:52:16.956724)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    53.94825976225347 examples per second
Step 82000:    (2022-05-09 18:53:41.200463)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    59.43798155854226 examples per second
Step 82100:    (2022-05-09 18:55:13.083702)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.43563081900127 examples per second
Step 82200:    (2022-05-09 18:56:45.989025)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    53.83674998542156 examples per second
Step 82300:    (2022-05-09 18:58:10.332701)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    59.36657345984613 examples per second
Step 82400:    (2022-05-09 18:59:42.769726)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.10829290736881 examples per second
Step 82500:    (2022-05-09 19:01:15.806949)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    53.79800421529912 examples per second
Step 82600:    (2022-05-09 19:02:38.497564)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    60.55979610465951 examples per second
Step 82700:    (2022-05-09 19:04:10.665553)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    54.271387485092575 examples per second
Step 82800:    (2022-05-09 19:05:43.042172)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.144663963949974 examples per second
Step 82900:    (2022-05-09 19:07:06.017475)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    60.34691695848241 examples per second
Step 83000:    (2022-05-09 19:08:37.646848)
    training nat accuracy 94.0%
    training adv accuracy 92.0%
    54.58508725743331 examples per second
Step 83100:    (2022-05-09 19:10:09.755476)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.302792427845795 examples per second
Step 83200:    (2022-05-09 19:11:33.171950)
    training nat accuracy 100.0%
    training adv accuracy 100.0%
    60.02632555576332 examples per second
Step 83300:    (2022-05-09 19:13:04.025834)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    55.05254539592157 examples per second
Step 83400:    (2022-05-09 19:14:36.095405)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.32599370179836 examples per second
Step 83500:    (2022-05-09 19:16:00.439658)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    59.373659118132416 examples per second
Step 83600:    (2022-05-09 19:17:31.745993)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    54.81723239680708 examples per second
Step 83700:    (2022-05-09 19:19:05.069882)
    training nat accuracy 100.0%
    training adv accuracy 100.0%
    53.59525501557012 examples per second
Step 83800:    (2022-05-09 19:20:28.562787)
    training nat accuracy 98.0%
    training adv accuracy 84.0%
    59.979520138409725 examples per second
Step 83900:    (2022-05-09 19:21:59.679411)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    54.89818315102806 examples per second
Step 84000:    (2022-05-09 19:23:32.065473)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.13907363101903 examples per second
Step 84100:    (2022-05-09 19:24:56.603532)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    59.23941336675295 examples per second
Step 84200:    (2022-05-09 19:26:27.867077)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    54.80366016634121 examples per second
Step 84300:    (2022-05-09 19:27:59.882057)
    training nat accuracy 94.0%
    training adv accuracy 84.0%
    54.35751845227497 examples per second
Step 84400:    (2022-05-09 19:29:22.677527)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    60.46299504186762 examples per second
Step 84500:    (2022-05-09 19:30:53.649968)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    54.98027747129938 examples per second
Step 84600:    (2022-05-09 19:32:26.072000)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.11857883374498 examples per second
Step 84700:    (2022-05-09 19:33:49.940805)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    59.756995966991916 examples per second
Step 84800:    (2022-05-09 19:35:20.582958)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    55.18094274080627 examples per second
Step 84900:    (2022-05-09 19:36:52.899534)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    54.18031474694434 examples per second
Step 85000:    (2022-05-09 19:38:16.564260)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    59.85133548070928 examples per second
Step 85100:    (2022-05-09 19:39:47.121026)
    training nat accuracy 96.0%
    training adv accuracy 90.0%
    55.2314500443553 examples per second
Step 85200:    (2022-05-09 19:41:19.289791)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    54.267578986180254 examples per second
Step 85300:    (2022-05-09 19:42:42.585056)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    60.12021746359405 examples per second
Step 85400:    (2022-05-09 19:44:12.936802)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    55.35736350648889 examples per second
Step 85500:    (2022-05-09 19:45:44.968884)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.3476757735152 examples per second
Step 85600:    (2022-05-09 19:47:07.624798)
    training nat accuracy 98.0%
    training adv accuracy 98.0%
    60.58741719154011 examples per second
Step 85700:    (2022-05-09 19:48:39.063920)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.698829944583196 examples per second
Step 85800:    (2022-05-09 19:50:11.116036)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.373752628100526 examples per second
Step 85900:    (2022-05-09 19:51:33.165180)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    61.029406423706156 examples per second
Step 86000:    (2022-05-09 19:53:04.186420)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    54.95125907148282 examples per second
Step 86100:    (2022-05-09 19:54:36.197979)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.36032655879818 examples per second
Step 86200:    (2022-05-09 19:55:58.892120)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    60.54747755625954 examples per second
Step 86300:    (2022-05-09 19:57:30.150239)
    training nat accuracy 100.0%
    training adv accuracy 100.0%
    54.807914709081466 examples per second
Step 86400:    (2022-05-09 19:59:02.431758)
    training nat accuracy 98.0%
    training adv accuracy 86.0%
    54.201306400703 examples per second
Step 86500:    (2022-05-09 20:00:25.193853)
    training nat accuracy 98.0%
    training adv accuracy 90.0%
    60.51192142490133 examples per second
Step 86600:    (2022-05-09 20:01:56.227022)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    54.94425740595996 examples per second
Step 86700:    (2022-05-09 20:03:28.341114)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.2994525885938 examples per second
Step 86800:    (2022-05-09 20:04:50.298377)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    61.10711129143901 examples per second
Step 86900:    (2022-05-09 20:06:20.957223)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    55.21402695025911 examples per second
Step 87000:    (2022-05-09 20:07:53.502771)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    54.046519622833735 examples per second
Step 87100:    (2022-05-09 20:09:15.863038)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    60.801868663089834 examples per second
Step 87200:    (2022-05-09 20:10:46.359754)
    training nat accuracy 100.0%
    training adv accuracy 90.0%
    55.26949978222933 examples per second
Step 87300:    (2022-05-09 20:12:18.773456)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    54.12325737626701 examples per second
Step 87400:    (2022-05-09 20:13:43.301589)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    59.2304065770157 examples per second
Step 87500:    (2022-05-09 20:15:14.980416)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.555481595349484 examples per second
Step 87600:    (2022-05-09 20:16:47.276551)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    54.192274450964455 examples per second
Step 87700:    (2022-05-09 20:18:10.759389)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    59.98780981269936 examples per second
Step 87800:    (2022-05-09 20:19:41.572156)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    55.07701122126591 examples per second
Step 87900:    (2022-05-09 20:21:13.843327)
    training nat accuracy 96.0%
    training adv accuracy 86.0%
    54.20702447892485 examples per second
Step 88000:    (2022-05-09 20:22:37.236106)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    60.088676989467515 examples per second
Step 88100:    (2022-05-09 20:24:08.547360)
    training nat accuracy 96.0%
    training adv accuracy 88.0%
    54.77636604633162 examples per second
Step 88200:    (2022-05-09 20:25:40.556860)
    training nat accuracy 100.0%
    training adv accuracy 88.0%
    54.36094947671139 examples per second
Step 88300:    (2022-05-09 20:27:03.657651)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    60.25218308799247 examples per second
Step 88400:    (2022-05-09 20:28:34.840243)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    54.853935655437326 examples per second
Step 88500:    (2022-05-09 20:30:07.147594)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    54.18565517743707 examples per second
Step 88600:    (2022-05-09 20:31:29.680309)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    60.667054954095924 examples per second
Step 88700:    (2022-05-09 20:33:00.969037)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.789102593678095 examples per second
Step 88800:    (2022-05-09 20:34:33.173841)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    54.24591814924646 examples per second
Step 88900:    (2022-05-09 20:35:57.136493)
    training nat accuracy 100.0%
    training adv accuracy 96.0%
    59.635748436386244 examples per second
Step 89000:    (2022-05-09 20:37:28.612367)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.67606207422209 examples per second
Step 89100:    (2022-05-09 20:39:00.791532)
    training nat accuracy 100.0%
    training adv accuracy 98.0%
    54.299544893521535 examples per second
Step 89200:    (2022-05-09 20:40:23.242424)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    60.72911296548417 examples per second
Step 89300:    (2022-05-09 20:41:54.777378)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.6424524821379 examples per second
Step 89400:    (2022-05-09 20:43:26.846146)
    training nat accuracy 98.0%
    training adv accuracy 96.0%
    54.325851009231734 examples per second
Step 89500:    (2022-05-09 20:44:48.451309)
    training nat accuracy 100.0%
    training adv accuracy 92.0%
    61.36890869834346 examples per second
Step 89600:    (2022-05-09 20:46:19.760987)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.77634614373605 examples per second
Step 89700:    (2022-05-09 20:47:51.765413)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.36460183327352 examples per second
Step 89800:    (2022-05-09 20:49:15.364083)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    59.90274088636515 examples per second
Step 89900:    (2022-05-09 20:50:46.996083)
    training nat accuracy 98.0%
    training adv accuracy 94.0%
    54.5833813574542 examples per second
Step 90000:    (2022-05-09 20:52:19.318361)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    54.17689307809194 examples per second
Step 90100:    (2022-05-09 20:53:42.728832)
    training nat accuracy 96.0%
    training adv accuracy 94.0%
    60.04090861397482 examples per second
Step 90200:    (2022-05-09 20:55:14.250863)
    training nat accuracy 98.0%
    training adv accuracy 88.0%
    54.690352197081076 examples per second
Step 90300:    (2022-05-09 20:56:46.164802)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.41705763517313 examples per second
Step 90400:    (2022-05-09 20:58:09.269440)
    training nat accuracy 100.0%
    training adv accuracy 86.0%
    60.250253062686646 examples per second
Step 90500:    (2022-05-09 20:59:40.561083)
    training nat accuracy 98.0%
    training adv accuracy 92.0%
    54.78737492382725 examples per second
Step 90600:    (2022-05-09 21:01:12.711276)
    training nat accuracy 100.0%
    training adv accuracy 94.0%
    54.277886758021324 examples per second
Step 90700:    (2022-05-09 21:02:36.380898)
